Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
6,47,No,4,9,33
9,74,No,5,5,69
3,41,Yes,5,5,24
7,63,No,4,6,54
5,40,Yes,4,8,24
4,98,No,8,5,82
6,44,No,9,0,33
1,43,Yes,7,0,17
3,61,Yes,7,3,39
1,75,No,8,8,50
9,93,No,8,6,93
6,55,No,6,0,44
4,53,No,9,8,40
6,89,No,8,0,76
4,65,No,5,9,49
3,97,No,7,5,78
3,57,Yes,7,8,38
8,45,No,5,6,34
5,51,Yes,6,4,36
9,88,Yes,5,4,85
3,67,Yes,9,5,47
6,94,Yes,7,3,83
2,67,No,7,8,45
2,58,No,9,2,34
4,56,Yes,4,7,39
7,48,Yes,9,9,44
8,73,No,4,1,66
9,87,No,8,7,82
2,57,No,6,7,34
1,92,No,4,6,61
5,85,No,8,5,75
2,68,No,6,4,45
7,47,No,4,4,38
8,41,Yes,8,1,35
3,58,Yes,6,1,41
1,66,No,8,2,40
8,44,Yes,9,4,35
9,87,Yes,4,5,85
9,98,No,5,9,93
4,41,Yes,5,7,23
4,56,Yes,8,3,38
4,46,Yes,7,0,30
7,85,No,9,3,74
9,52,Yes,5,0,49
9,75,Yes,6,7,73
2,45,Yes,4,5,22
7,85,No,8,5,76
4,99,No,8,4,84
3,73,Yes,6,3,53
2,85,Yes,4,7,64
4,93,No,7,9,78
7,53,No,6,6,45
5,67,No,9,9,54
7,40,No,6,1,29
6,46,No,6,2,33
3,83,Yes,6,4,63
6,86,No,9,5,76
1,46,Yes,6,4,17
9,73,No,7,8,68
2,79,Yes,5,3,56
1,49,Yes,9,4,25
4,41,No,7,0,23
7,79,Yes,4,2,67
4,61,No,9,3,44
5,84,Yes,4,7,73
1,90,No,9,9,65
4,70,Yes,9,1,54
8,68,No,8,7,67
4,84,No,4,6,65
5,44,No,6,4,29
1,83,Yes,6,9,56
2,73,No,7,1,48
8,46,No,7,1,41
4,46,No,8,5,30
8,45,Yes,6,4,41
4,97,No,5,7,81
1,47,No,5,5,21
6,58,Yes,6,8,46
4,72,No,8,2,52
8,83,Yes,6,6,78
8,97,No,9,6,95
2,85,No,5,0,61
5,42,No,4,0,25
8,85,No,7,2,78
7,81,Yes,4,7,74
8,70,No,5,5,59
6,81,Yes,5,3,69
8,95,Yes,6,2,87
7,97,Yes,5,9,91
9,78,No,8,8,79
5,93,Yes,8,6,80
9,40,No,9,3,38
8,92,Yes,7,8,89
4,69,No,7,0,50
3,66,No,9,7,48
8,86,Yes,7,4,82
3,65,Yes,9,9,43
2,76,No,6,1,53
9,67,Yes,9,4,64
6,41,No,5,1,24
9,40,Yes,4,4,35
5,52,Yes,8,0,35
3,84,No,8,3,64
6,49,Yes,7,5,37
9,79,Yes,7,3,78
1,50,No,4,9,24
6,73,No,8,7,65
8,52,No,9,0,45
5,87,Yes,9,5,75
1,48,Yes,6,7,25
9,44,No,4,0,39
2,87,No,9,5,67
1,64,Yes,9,9,42
9,94,Yes,7,5,94
5,94,No,5,6,81
5,92,Yes,5,4,79
4,50,Yes,9,3,34
8,80,No,8,7,77
4,48,Yes,7,8,29
7,87,No,7,8,79
3,44,Yes,9,5,24
4,84,Yes,9,2,67
1,70,Yes,8,9,45
2,67,Yes,7,9,44
5,99,No,4,7,82
6,42,No,9,5,31
5,59,Yes,9,0,45
9,74,No,8,5,74
4,61,No,8,5,44
9,54,Yes,6,7,51
4,97,No,4,1,81
1,95,Yes,6,0,67
3,52,No,4,3,31
1,51,Yes,8,7,26
1,72,No,6,4,51
8,57,No,6,6,50
8,95,Yes,9,5,94
9,42,Yes,6,3,38
1,67,No,8,0,42
4,72,No,6,5,56
9,41,No,8,5,37
4,72,Yes,7,0,54
6,55,Yes,4,4,42
1,58,Yes,8,4,35
4,60,No,8,1,40
7,54,Yes,6,4,45
1,75,Yes,9,5,50
5,68,Yes,4,8,52
8,55,No,6,3,47
6,77,Yes,4,2,66
4,82,No,9,8,67
4,87,No,7,3,70
3,92,No,8,0,74
9,83,Yes,6,9,85
3,73,Yes,9,6,52
4,86,No,8,4,71
9,56,Yes,5,7,50
9,63,Yes,5,9,60
8,52,No,8,8,48
4,88,Yes,7,6,72
9,79,No,7,7,78
9,58,Yes,5,2,56
1,51,No,7,3,23
6,46,No,6,2,27
3,76,Yes,4,3,54
8,96,Yes,4,1,85
9,77,Yes,8,4,77
4,73,No,8,6,56
5,70,Yes,8,2,55
6,66,Yes,4,9,56
6,47,No,9,8,36
3,81,Yes,4,8,63
8,56,Yes,6,7,52
9,46,No,4,4,40
7,62,No,8,8,52
7,84,Yes,7,3,79
9,72,Yes,8,0,69
4,89,Yes,5,2,72
9,78,No,4,8,72
4,79,No,7,6,66
6,68,Yes,7,6,62
7,43,Yes,9,2,37
9,87,Yes,8,8,84
7,91,Yes,4,9,83
9,46,Yes,7,9,45
3,71,No,6,6,52
3,96,No,9,2,77
4,74,Yes,5,5,60
4,86,No,4,2,62
7,44,No,9,9,37
7,81,Yes,4,5,72
7,70,No,9,6,64
1,75,No,8,4,49
6,85,No,4,0,66
8,55,No,6,1,48
9,41,Yes,6,8,40
1,85,Yes,6,3,60
5,71,No,4,7,58
7,47,No,5,3,36
8,72,Yes,7,2,67
2,71,Yes,4,7,50
9,58,No,6,5,54
5,94,Yes,4,5,79
6,45,Yes,8,3,34
7,56,No,9,8,47
1,86,Yes,5,4,62
4,64,Yes,8,4,47
6,78,Yes,5,6,66
3,41,Yes,5,6,20
2,65,Yes,9,4,40
2,88,No,5,2,59
6,48,Yes,4,0,36
6,57,Yes,7,3,43
7,41,Yes,7,3,34
7,43,No,8,0,33
1,49,No,7,2,23
6,64,No,7,1,53
5,75,Yes,8,1,62
9,70,No,6,5,66
7,76,Yes,6,8,67
1,99,Yes,9,3,75
8,54,No,5,3,46
8,45,Yes,4,7,39
9,76,No,5,9,71
7,57,Yes,6,2,48
5,92,No,7,2,77
1,71,No,8,9,46
5,62,Yes,6,1,45
6,98,Yes,8,6,90
8,48,No,7,7,40
8,93,No,7,2,89
2,44,Yes,6,4,20
9,49,No,8,9,48
7,98,No,7,9,95
9,44,No,5,1,37
9,80,No,7,3,81
3,63,Yes,8,6,43
9,80,No,7,8,78
5,54,Yes,8,5,41
9,45,Yes,8,8,46
2,41,No,8,2,16
6,75,Yes,4,0,62
7,73,Yes,8,7,65
7,40,Yes,7,1,33
5,58,No,9,0,42
7,42,Yes,8,9,33
9,47,Yes,7,2,47
1,96,No,7,1,70
6,52,Yes,9,9,42
4,89,No,4,8,75
3,47,Yes,4,7,27
7,47,No,8,7,36
3,85,Yes,4,3,65
2,60,Yes,8,7,37
5,89,Yes,8,2,75
4,77,No,4,9,59
5,43,Yes,7,0,27
5,69,Yes,9,3,57
4,94,Yes,4,2,73
9,92,No,7,6,89
5,43,Yes,6,8,32
4,56,No,6,9,40
1,87,Yes,7,8,66
2,88,No,4,3,66
6,64,No,4,9,49
1,44,Yes,8,3,20
6,94,No,4,9,81
3,60,Yes,8,8,43
8,99,Yes,4,3,89
4,82,Yes,8,4,62
7,69,No,7,0,60
6,75,No,4,2,60
1,88,Yes,7,4,65
5,54,No,5,3,35
6,75,No,6,5,62
1,51,Yes,5,9,28
1,60,Yes,7,4,33
8,60,No,5,9,53
5,48,Yes,5,5,32
6,82,Yes,9,8,70
8,65,No,5,3,58
6,42,No,9,5,29
1,99,No,7,3,73
6,67,No,5,4,56
4,99,Yes,8,5,87
8,78,Yes,5,5,72
6,90,No,7,9,77
8,53,Yes,9,8,49
3,96,No,4,6,74
5,45,No,5,6,29
8,40,No,8,6,34
1,67,Yes,8,7,45
1,50,No,4,6,22
9,75,Yes,4,7,73
2,90,No,6,0,68
5,98,Yes,4,6,87
6,74,Yes,4,2,63
6,84,Yes,7,7,72
6,62,Yes,5,3,52
9,47,No,8,8,45
2,84,No,4,1,56
8,92,Yes,8,8,89
8,69,No,7,1,60
5,83,No,5,0,68
4,73,Yes,8,0,59
7,60,No,8,8,57
4,81,No,7,5,67
3,43,No,6,2,20
8,92,Yes,4,5,84
8,42,Yes,9,8,38
5,74,Yes,6,5,61
8,49,Yes,9,8,44
4,64,Yes,9,8,49
2,73,Yes,8,2,50
2,97,No,6,7,74
4,85,No,7,5,66
4,86,No,6,1,70
2,46,Yes,9,9,28
1,94,No,5,1,66
4,70,Yes,4,3,51
6,95,Yes,8,4,84
5,86,Yes,4,7,72
8,75,Yes,6,1,71
8,75,No,6,6,69
8,97,No,9,7,94
3,68,Yes,9,6,49
5,41,No,7,2,25
2,80,No,8,6,58
7,59,No,9,1,47
3,79,Yes,9,5,61
3,79,Yes,8,9,60
1,64,No,7,2,35
5,46,Yes,7,2,32
6,84,Yes,7,7,79
5,72,No,5,7,57
5,53,Yes,7,3,42
7,48,No,7,7,38
5,56,No,8,5,40
2,87,Yes,6,7,63
6,61,No,7,4,49
9,73,No,6,9,71
8,87,No,5,3,79
1,55,Yes,7,8,31
6,57,Yes,9,1,46
4,47,No,4,6,24
7,79,No,4,7,69
2,92,Yes,5,3,68
1,90,Yes,5,0,67
6,60,Yes,6,2,50
7,74,Yes,5,7,68
9,87,Yes,9,9,85
1,59,No,6,4,32
3,82,Yes,5,9,63
4,44,Yes,8,9,30
1,60,No,7,0,36
6,72,Yes,6,5,60
6,54,Yes,8,1,42
9,58,Yes,5,2,54
5,78,Yes,9,2,64
3,62,No,7,0,40
2,68,Yes,5,4,47
3,71,No,9,0,52
2,40,Yes,4,8,16
3,80,No,4,9,58
7,67,Yes,4,1,57
6,88,Yes,6,7,78
5,58,Yes,7,2,43
7,78,No,8,5,70
5,54,No,8,8,40
8,57,Yes,6,0,49
3,72,No,4,8,50
4,50,No,5,7,37
6,70,Yes,5,2,56
1,48,No,6,8,25
3,41,Yes,8,9,24
7,69,No,8,5,62
6,66,Yes,4,4,51
5,41,Yes,6,7,27
7,69,No,8,1,61
8,58,No,8,1,52
6,65,Yes,4,1,56
7,79,No,8,8,70
7,77,No,5,3,66
3,75,Yes,9,4,60
1,85,Yes,9,1,58
8,45,No,7,3,38
8,76,No,7,2,69
5,88,No,5,2,71
4,55,Yes,7,8,39
2,65,No,5,1,40
5,76,No,8,8,62
5,94,No,7,2,83
4,92,Yes,4,0,74
6,89,No,9,8,79
1,99,No,8,1,75
7,95,No,9,6,87
8,89,Yes,4,6,84
1,66,Yes,4,2,38
9,63,No,4,8,59
3,45,No,5,2,24
9,67,No,4,5,60
5,40,Yes,7,8,26
5,54,Yes,5,1,36
1,58,No,5,2,33
9,71,No,7,1,67
3,83,Yes,6,3,63
1,92,Yes,6,8,68
3,73,No,8,0,54
2,66,No,4,2,42
1,75,Yes,8,4,51
3,68,Yes,8,9,49
3,67,Yes,5,9,49
2,88,No,8,8,67
6,55,Yes,7,2,46
3,69,No,6,2,48
3,67,Yes,9,9,50
1,92,Yes,4,9,66
1,79,Yes,7,7,56
2,57,No,6,0,31
5,70,No,5,6,56
9,89,No,7,2,86
1,42,No,9,1,15
5,53,No,4,4,36
6,94,No,6,4,83
2,56,No,6,2,31
5,81,No,8,8,70
4,72,No,5,3,56
8,62,Yes,4,2,52
5,49,No,5,5,33
7,88,Yes,4,9,82
3,94,Yes,7,1,74
9,54,Yes,5,9,49
4,56,Yes,8,6,43
3,72,Yes,8,6,54
7,55,Yes,7,5,50
7,57,Yes,9,9,48
6,52,No,4,4,35
3,67,No,9,8,46
2,71,No,8,8,52
4,88,Yes,5,4,69
1,78,No,4,6,52
7,77,No,7,1,68
5,47,Yes,8,3,35
1,40,No,4,8,12
7,78,No,6,2,72
8,56,No,9,3,50
5,52,No,5,6,33
6,78,Yes,6,5,71
4,76,No,7,2,58
6,92,No,9,2,82
1,85,No,5,5,61
5,71,No,5,5,54
1,59,No,9,6,34
1,70,No,6,5,44
1,87,No,9,3,65
1,82,Yes,8,3,61
5,81,Yes,5,7,67
8,53,No,7,5,45
7,93,Yes,5,7,85
6,68,Yes,4,5,54
4,97,Yes,8,7,81
4,90,No,8,3,69
2,83,Yes,6,0,62
8,90,Yes,7,3,85
9,67,No,7,9,65
9,99,No,4,1,95
3,50,No,7,0,31
3,80,Yes,9,6,64
5,60,Yes,8,5,47
5,53,Yes,7,7,40
4,79,No,6,6,61
8,54,Yes,9,5,46
9,81,No,4,2,76
2,59,Yes,7,6,38
8,82,No,7,3,76
4,52,No,4,1,35
3,82,Yes,4,8,65
2,85,Yes,8,5,62
5,43,No,7,6,29
9,54,Yes,5,7,50
1,86,No,4,6,59
5,98,Yes,6,3,84
9,78,Yes,8,3,75
7,43,Yes,7,2,34
3,71,Yes,7,4,50
3,93,Yes,6,2,74
6,73,Yes,5,6,61
9,44,Yes,7,3,39
5,68,Yes,4,5,53
4,73,Yes,7,8,61
9,95,Yes,5,2,94
5,50,No,5,5,36
5,47,Yes,5,8,31
5,76,Yes,4,9,62
2,81,No,4,7,56
7,60,Yes,5,5,53
1,97,No,5,4,72
5,94,Yes,4,0,78
2,52,No,5,5,26
1,97,No,9,8,70
3,63,Yes,9,9,47
1,65,No,4,9,40
3,51,No,7,6,34
1,87,No,6,1,63
2,42,No,7,3,15
7,47,Yes,8,5,42
9,44,Yes,8,9,44
2,43,Yes,6,8,21
9,83,Yes,4,8,80
8,69,Yes,4,5,63
4,49,No,8,4,33
5,83,Yes,6,8,67
6,74,No,5,4,64
9,90,Yes,4,9,88
3,70,No,9,6,51
3,98,No,8,1,80
9,47,Yes,9,8,45
7,97,No,4,4,85
8,57,No,6,7,52
2,65,Yes,5,4,39
8,95,Yes,9,6,93
8,81,No,9,6,74
4,78,No,8,6,65
6,75,No,9,2,66
5,69,No,9,9,57
6,45,No,8,8,35
1,40,No,9,7,16
4,80,No,5,5,67
5,97,No,6,3,81
1,87,Yes,8,6,62
9,78,Yes,6,7,74
6,97,No,9,1,86
1,80,No,6,3,55
4,73,Yes,4,3,59
7,41,No,4,9,31
9,70,No,5,9,67
4,51,No,5,9,36
4,48,Yes,9,2,35
2,58,No,9,7,37
7,77,Yes,7,4,69
2,44,No,8,8,28
1,91,Yes,6,3,65
1,79,Yes,4,3,53
8,89,No,8,7,82
8,95,No,9,9,91
3,75,No,4,2,54
8,87,Yes,5,6,82
3,69,Yes,4,5,48
2,68,Yes,4,7,43
4,72,No,5,7,55
2,61,No,9,0,37
3,82,No,5,8,63
9,49,No,6,4,45
3,63,No,6,9,45
6,88,Yes,6,2,74
7,52,No,6,5,41
4,63,Yes,8,5,46
8,47,No,5,8,39
1,67,No,5,0,41
6,76,Yes,4,3,66
1,44,No,9,9,16
6,83,Yes,8,8,73
3,42,Yes,4,7,24
2,59,Yes,9,4,33
2,80,Yes,9,1,61
4,62,Yes,8,2,41
3,79,No,9,3,60
1,90,No,7,7,67
4,66,Yes,7,9,48
7,56,Yes,8,7,48
5,95,Yes,5,7,82
9,61,No,9,2,59
9,86,Yes,8,3,87
2,81,Yes,7,5,61
9,56,No,6,3,53
4,41,Yes,7,3,25
1,64,No,4,4,40
5,47,Yes,8,7,34
7,66,Yes,9,8,60
8,87,No,5,5,79
9,72,No,9,5,68
1,84,No,8,1,61
9,93,No,5,3,87
4,68,No,4,1,46
6,75,Yes,6,6,63
7,90,No,8,2,81
6,82,Yes,7,2,71
9,42,Yes,9,3,37
8,75,No,8,3,70
3,65,No,5,0,44
6,60,Yes,7,5,49
8,55,Yes,7,9,53
6,68,No,8,1,55
7,70,Yes,7,9,61
3,83,Yes,5,3,56
3,87,Yes,7,1,66
1,92,Yes,4,6,67
4,81,No,7,8,66
9,72,Yes,6,4,68
2,97,Yes,6,1,75
6,75,Yes,4,3,63
4,67,Yes,6,5,49
7,57,Yes,9,6,49
4,47,Yes,9,6,30
8,86,Yes,6,0,79
8,93,Yes,6,9,88
9,58,Yes,5,2,56
7,93,No,6,0,85
1,62,Yes,8,6,40
9,74,Yes,4,5,67
9,98,Yes,4,9,96
9,85,Yes,9,6,85
1,47,Yes,5,0,19
6,77,No,4,7,66
8,84,Yes,9,6,79
6,93,Yes,5,5,83
8,80,Yes,8,1,74
3,56,No,7,6,36
2,84,No,5,2,59
7,93,No,9,0,83
4,56,Yes,5,0,38
1,42,Yes,8,9,13
5,98,Yes,4,7,83
5,95,Yes,9,4,84
7,83,Yes,9,8,77
9,94,No,9,1,91
5,40,No,6,8,24
2,81,Yes,4,3,58
2,91,Yes,8,0,70
5,54,Yes,4,3,41
3,88,Yes,7,7,69
8,52,Yes,6,3,45
6,80,Yes,6,9,69
2,42,Yes,9,4,19
5,97,No,8,1,81
9,61,Yes,9,9,58
6,77,No,9,3,66
8,79,Yes,7,4,76
3,95,No,7,1,74
2,82,Yes,7,9,61
6,89,No,8,0,77
9,76,Yes,8,1,75
2,63,Yes,6,0,39
4,42,Yes,6,8,25
8,88,Yes,5,6,82
2,96,No,7,5,77
4,40,No,5,1,22
5,78,Yes,8,3,63
2,99,Yes,6,3,81
3,56,Yes,4,5,36
8,63,No,5,8,59
5,68,No,4,0,55
8,72,Yes,6,8,67
4,75,No,9,9,56
1,71,No,8,1,44
3,91,Yes,6,7,73
9,97,Yes,8,5,98
7,57,No,9,8,49
2,86,No,8,6,69
5,89,Yes,4,0,72
3,89,No,8,7,69
1,40,No,5,9,10
8,72,Yes,8,7,64
3,62,No,6,2,40
1,69,Yes,9,8,45
4,92,Yes,4,7,75
7,72,Yes,4,2,61
8,53,Yes,9,0,48
2,66,Yes,6,7,47
6,62,No,5,9,49
2,54,Yes,9,9,38
2,58,Yes,8,4,34
7,49,Yes,6,9,42
9,43,Yes,6,8,41
5,43,No,4,8,30
5,87,Yes,6,7,74
4,49,Yes,8,8,32
9,41,Yes,8,5,37
8,45,Yes,7,1,39
7,40,Yes,8,2,33
5,69,Yes,7,2,58
4,72,Yes,7,1,59
7,50,Yes,8,3,44
2,48,No,7,7,24
9,55,Yes,4,2,53
2,53,No,5,2,24
3,88,No,9,1,67
1,91,No,6,2,64
5,51,Yes,7,1,36
3,66,Yes,7,3,44
9,62,No,9,1,55
7,74,No,9,1,63
8,40,No,8,3,34
7,72,Yes,9,4,69
3,53,Yes,5,2,31
4,53,Yes,9,1,33
5,79,Yes,4,1,62
1,52,Yes,9,7,27
5,54,Yes,5,5,39
6,76,Yes,6,7,66
1,73,Yes,5,8,50
7,65,No,9,7,59
5,66,No,4,1,52
8,48,No,9,6,40
6,47,Yes,6,4,32
1,60,No,4,2,30
4,69,Yes,7,6,54
3,83,Yes,7,5,61
9,46,No,8,5,41
5,62,Yes,4,7,47
6,90,Yes,9,8,81
5,99,Yes,6,0,82
8,45,No,6,4,40
6,68,No,4,0,53
3,48,Yes,5,3,23
8,65,Yes,4,8,61
4,90,Yes,8,4,77
2,89,No,4,4,64
5,70,No,8,6,57
5,80,No,9,2,64
1,46,Yes,5,5,19
3,83,Yes,7,5,62
9,56,Yes,8,3,52
4,78,Yes,7,3,60
9,97,Yes,9,1,98
1,83,Yes,7,2,54
6,86,No,7,2,75
7,83,Yes,5,6,77
3,55,Yes,9,6,36
8,85,No,6,0,78
6,88,No,4,6,78
6,97,No,7,9,85
6,52,No,9,2,40
5,54,No,8,7,41
6,66,Yes,4,8,54
6,43,Yes,4,0,27
2,76,Yes,8,6,53
8,64,Yes,7,4,58
8,92,No,6,7,87
6,92,No,4,9,79
5,73,Yes,6,0,59
5,83,Yes,8,3,71
6,44,Yes,6,8,34
9,81,No,9,8,78
8,94,No,6,1,88
3,83,No,9,6,62
9,77,No,9,9,74
8,83,No,7,4,77
3,54,Yes,7,5,33
3,66,No,8,3,46
8,52,No,4,3,41
2,57,Yes,7,1,35
7,86,Yes,8,6,78
7,90,Yes,7,5,79
4,43,Yes,6,3,24
8,86,Yes,8,4,80
8,72,No,7,2,67
8,95,Yes,4,6,88
4,96,Yes,7,7,78
5,89,Yes,6,9,75
8,84,No,5,6,75
2,49,No,6,6,27
7,87,Yes,9,7,85
4,80,No,7,8,69
8,93,Yes,5,7,90
6,83,Yes,4,7,69
6,90,Yes,6,8,83
9,49,Yes,7,1,46
5,74,Yes,4,9,59
8,68,No,9,5,60
6,52,No,6,4,35
7,93,Yes,4,6,84
1,51,No,8,9,22
6,49,Yes,7,9,38
8,61,Yes,5,9,56
2,63,No,9,4,39
5,66,Yes,4,7,54
3,91,Yes,8,2,73
5,90,Yes,4,4,73
8,41,No,9,1,40
2,47,Yes,7,1,25
8,67,Yes,5,9,64
3,77,Yes,9,6,60
7,74,Yes,6,7,68
8,85,Yes,5,7,82
3,65,Yes,4,2,43
5,75,Yes,4,0,62
8,97,No,6,0,87
4,57,Yes,4,1,39
9,65,Yes,7,6,60
7,69,Yes,7,2,59
4,49,Yes,7,0,31
5,72,No,6,1,54
1,75,Yes,4,5,50
7,85,No,8,8,78
2,78,No,9,1,58
4,50,Yes,9,8,36
5,90,No,8,9,77
4,76,No,4,1,57
6,58,Yes,4,2,45
1,45,No,7,4,19
2,81,No,6,1,59
2,42,No,9,2,20
4,58,No,7,6,43
8,77,No,6,9,69
4,76,No,9,1,59
3,63,No,6,3,42
9,56,Yes,7,3,52
2,79,No,6,3,56
6,55,Yes,4,9,40
9,60,Yes,8,1,58
3,78,No,6,2,54
1,95,No,8,4,68
3,88,No,5,3,68
5,92,No,5,8,79
8,84,No,8,1,81
4,41,Yes,8,2,22
4,87,No,4,3,67
9,69,Yes,6,3,65
2,44,No,4,1,20
6,47,Yes,6,8,35
5,53,Yes,6,3,37
4,71,Yes,9,5,55
1,64,Yes,6,3,39
6,96,Yes,9,1,88
6,74,No,7,0,60
9,88,No,7,1,89
7,53,Yes,5,1,41
1,97,Yes,8,7,73
5,84,Yes,9,8,75
2,58,Yes,7,7,34
9,47,No,5,6,41
8,85,Yes,7,6,79
8,87,Yes,8,4,81
2,51,No,4,0,30
7,50,No,6,9,41
3,84,No,4,6,62
1,48,Yes,5,2,19
1,85,No,7,8,60
3,63,No,5,2,38
3,46,No,6,4,25
3,80,No,8,7,60
2,54,Yes,9,5,33
8,88,No,4,4,78
1,45,Yes,4,5,17
6,49,Yes,5,1,35
7,96,Yes,9,1,93
1,79,No,6,1,50
9,48,Yes,6,0,41
2,83,Yes,9,7,64
3,61,Yes,8,1,39
1,51,No,4,4,21
4,43,No,8,6,25
5,95,No,7,8,83
9,64,Yes,8,2,63
4,77,No,5,4,60
6,93,No,5,5,84
7,81,No,8,0,73
8,48,Yes,7,1,38
5,51,No,9,4,34
3,82,No,8,3,64
6,46,Yes,4,5,31
8,74,Yes,6,5,71
8,44,No,7,8,38
1,82,Yes,4,4,58
2,57,No,5,8,30
5,91,No,4,4,74
2,60,Yes,6,8,40
1,98,No,6,6,69
6,53,Yes,7,1,39
8,50,No,9,2,43
8,98,Yes,8,3,93
1,49,Yes,7,3,24
2,64,No,9,0,43
4,43,No,6,1,24
2,40,No,9,2,15
1,64,No,8,5,39
1,86,No,9,0,59
3,86,No,9,2,66
3,53,No,7,2,34
7,83,Yes,9,9,78
2,54,Yes,5,4,31
3,97,Yes,6,5,76
3,43,Yes,6,1,19
5,84,No,6,5,72
1,83,Yes,6,6,60
1,99,Yes,7,5,73
7,93,No,9,3,84
5,71,No,4,4,56
3,53,No,9,3,34
2,53,No,6,5,30
4,75,No,5,9,61
3,45,Yes,7,7,26
9,57,Yes,4,8,52
8,76,Yes,4,6,71
2,91,Yes,8,5,68
7,88,Yes,9,4,79
3,65,Yes,6,6,45
8,52,No,6,0,43
1,57,Yes,4,9,32
1,94,Yes,6,9,69
4,49,Yes,8,9,33
3,41,Yes,4,1,17
5,57,Yes,9,1,42
6,70,No,6,6,58
4,96,Yes,7,9,79
2,74,Yes,5,1,46
2,89,No,7,7,67
6,82,No,5,4,73
4,64,Yes,9,3,47
8,72,Yes,4,8,67
7,65,No,5,7,55
6,48,Yes,4,1,35
1,76,Yes,7,3,53
1,83,No,7,4,60
3,61,No,6,6,44
7,78,No,8,5,67
1,87,Yes,8,8,61
5,96,No,7,5,85
8,99,No,9,3,97
7,58,No,9,5,49
1,82,No,9,7,61
3,98,No,6,5,78
6,42,Yes,9,5,32
2,60,No,7,7,40
5,48,Yes,6,4,33
3,86,Yes,9,5,69
6,43,Yes,6,4,29
4,99,Yes,6,1,82
6,90,Yes,9,3,79
8,57,No,6,1,50
6,92,Yes,8,7,81
6,64,Yes,8,4,52
5,60,Yes,6,6,45
1,90,No,5,6,65
3,80,No,7,3,59
3,55,Yes,5,8,35
5,54,Yes,6,6,38
8,76,No,8,4,77
7,73,No,5,4,63
2,72,Yes,4,1,49
6,60,No,9,8,49
2,65,Yes,6,2,40
2,44,Yes,9,8,26
1,94,Yes,5,1,64
3,99,Yes,6,8,80
5,57,No,9,1,45
4,93,Yes,5,2,76
3,86,Yes,5,3,64
9,80,Yes,6,1,77
3,74,No,6,6,54
8,70,No,8,5,61
5,49,Yes,5,0,31
7,41,No,4,7,31
2,87,Yes,7,6,64
8,54,Yes,5,9,49
7,64,Yes,8,5,58
7,80,No,9,6,74
5,47,Yes,8,6,33
7,76,No,8,8,71
8,67,No,7,9,65
3,53,Yes,9,8,40
3,82,No,4,8,60
3,95,No,9,1,75
5,99,No,6,3,87
9,85,Yes,8,1,81
5,58,Yes,5,0,40
4,87,No,8,0,69
7,46,No,7,4,36
9,84,No,9,3,83
7,55,No,7,3,49
4,98,No,7,2,78
9,75,No,8,6,71
3,60,Yes,5,1,40
7,53,Yes,5,5,45
5,47,No,4,9,31
8,94,No,9,1,90
6,97,No,7,5,90
4,45,Yes,7,6,27
1,67,No,6,9,45
7,73,Yes,9,5,66
4,97,Yes,6,2,76
1,59,Yes,5,6,32
5,56,No,9,6,42
6,88,Yes,7,6,75
6,69,No,9,4,58
9,45,No,4,9,42
1,96,No,8,3,70
1,78,No,8,3,54
9,52,Yes,8,3,51
7,93,Yes,4,2,85
1,75,Yes,4,4,46
7,41,Yes,9,8,33
4,50,Yes,6,7,34
1,69,No,4,3,37
6,88,No,4,6,75
4,73,No,7,4,53
5,77,Yes,8,0,62
8,82,No,8,8,79
6,77,Yes,7,0,64
6,54,No,7,3,43
2,90,No,6,2,66
9,83,Yes,8,9,85
1,91,Yes,5,0,63
1,69,Yes,5,1,42
9,45,Yes,8,4,43
8,48,No,6,3,41
7,83,Yes,6,2,74
8,89,No,7,8,87
5,97,No,7,2,79
8,61,No,8,9,56
1,69,Yes,7,1,48
6,50,No,5,5,38
5,93,Yes,8,4,80
1,81,No,6,6,55
7,89,Yes,7,4,82
3,89,No,5,2,68
1,46,No,8,8,24
3,61,Yes,8,7,41
5,93,No,7,1,76
6,54,No,8,6,45
9,86,Yes,9,8,84
5,74,Yes,5,0,57
2,94,Yes,9,8,75
1,55,No,5,4,30
2,44,No,5,0,15
6,73,Yes,7,1,63
8,63,Yes,9,5,61
8,91,No,4,6,87
2,46,Yes,4,5,23
4,80,Yes,9,1,62
5,56,Yes,7,6,46
8,73,Yes,8,8,67
4,97,Yes,7,6,81
3,73,No,7,6,56
7,43,No,4,2,33
7,45,No,7,5,36
3,80,No,6,6,62
5,60,No,4,5,45
2,96,No,8,7,73
5,46,Yes,7,7,33
8,48,No,6,4,41
1,80,Yes,5,4,56
6,75,No,4,2,61
6,89,No,5,5,79
8,99,Yes,8,9,99
7,88,No,8,2,80
3,51,Yes,4,0,29
3,98,Yes,4,3,81
9,63,No,9,7,62
4,59,Yes,9,5,42
3,64,Yes,9,8,43
1,80,Yes,6,8,55
5,67,Yes,6,1,54
6,70,No,4,2,56
5,42,Yes,6,0,26
4,41,Yes,8,7,23
8,99,No,9,6,96
6,54,Yes,8,7,46
5,93,Yes,6,5,80
3,92,No,9,7,74
1,55,No,9,3,30
8,68,Yes,5,3,61
3,57,No,9,0,38
6,77,No,6,4,70
1,70,No,4,9,46
5,82,Yes,9,9,71
1,84,No,8,3,57
